gene,Description
ADGB,androglobin
LOC101928764,coiled-coil domain-containing protein 144B
SNORD48,"small nucleolar RNA, C/D box 48"
DNAI4,dynein axonemal intermediate chain 4
MAST2,microtubule associated serine/threonine kinase 2
IGLV2-5,immunoglobulin lambda variable 2-5 (pseudogene)
LOC107986424,
ALKAL2,ALK and LTK ligand 2
ZNF320,zinc finger protein 320
PCP4L1,Purkinje cell protein 4 like 1
SSR3,signal sequence receptor subunit 3
HCG18,HLA complex group 18
SMARCA1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
CYB561D1,cytochrome b561 family member D1
TP53,tumor protein p53
ZNF319,zinc finger protein 319
KDM7A-DT,KDM7A divergent transcript
LOC105373785,uncharacterized LOC105373785
ADIPOR2,adiponectin receptor 2
LOC105377043,uncharacterized LOC105377043
AMMECR1,AMMECR nuclear protein 1
MCM6,minichromosome maintenance complex component 6
TMEM98,transmembrane protein 98
PCBP3,poly(rC) binding protein 3
FNDC1,fibronectin type III domain containing 1
LOC107986961,
WSCD2,WSC domain containing 2
LOC101928692,uncharacterized LOC101928692
LOC107986073,
SLC20A1,solute carrier family 20 member 1
NIPA2,NIPA magnesium transporter 2
TMED10,transmembrane p24 trafficking protein 10
SFTPA2,surfactant protein A2
PPIP5K1,diphosphoinositol pentakisphosphate kinase 1
NUP85,nucleoporin 85
NAP1L4,nucleosome assembly protein 1 like 4
PNMA8A,PNMA family member 8A
CLSTN2,calsyntenin 2
KDR,kinase insert domain receptor
CRTAM,cytotoxic and regulatory T cell molecule
BRINP3,BMP/retinoic acid inducible neural specific 3
AKR7L,aldo-keto reductase family 7 like (gene/pseudogene)
AKAP6,A-kinase anchoring protein 6
WDR87BP,"WD repeat domain 87B, pseudogene"
DSC2,desmocollin 2
CORO1B,coronin 1B
LOC101928047,uncharacterized LOC101928047
PRPF3,pre-mRNA processing factor 3
SGCD,sarcoglycan delta
CATIP,ciliogenesis associated TTC17 interacting protein
LOC107984889,uncharacterized LOC107984889
UBASH3B,ubiquitin associated and SH3 domain containing B
BROX,BRO1 domain and CAAX motif containing
NUP210L,nucleoporin 210 like
GEMIN6,gem nuclear organelle associated protein 6
TWIST2,twist family bHLH transcription factor 2
LUZP1,leucine zipper protein 1
TAC4,tachykinin precursor 4
LOC105370044,uncharacterized LOC105370044
AKR7A2,aldo-keto reductase family 7 member A2
CIBAR2,CBY1 interacting BAR domain containing 2
MOSPD2,motile sperm domain containing 2
LOC107984088,uncharacterized LOC107984088
CLEC12A,C-type lectin domain family 12 member A
SETMAR,SET domain and mariner transposase fusion gene
NAT8B,"N-acetyltransferase 8B (putative, gene/pseudogene)"
CACNA1G,calcium voltage-gated channel subunit alpha1 G
TM9SF1,transmembrane 9 superfamily member 1
HOXC4,homeobox C4
SPEF2,sperm flagellar 2
AUH,AU RNA binding methylglutaconyl-CoA hydratase
DNAI3,dynein axonemal intermediate chain 3
MIR3917,microRNA 3917
TRIP13,thyroid hormone receptor interactor 13
CPSF6,cleavage and polyadenylation specific factor 6
CATSPER2P1,cation channel sperm associated 2 pseudogene 1
POMK,protein O-mannose kinase
LOC105374167,uncharacterized LOC105374167
FAM219A,family with sequence similarity 219 member A
ZFP62,ZFP62 zinc finger protein
VAT1,vesicle amine transport 1
CBFB,core-binding factor subunit beta
CRYZL1,crystallin zeta like 1
SLC39A14,solute carrier family 39 member 14
DUSP7,dual specificity phosphatase 7
LOC105378678,uncharacterized LOC105378678
LOC102725101,immunoglobulin heavy variable 3-23-like
CCM2,CCM2 scaffold protein
VNN3P,"vanin 3, pseudogene"
SPIN1,spindlin 1
ABHD17A,"abhydrolase domain containing 17A, depalmitoylase"
FOXP4-AS1,FOXP4 antisense RNA 1
AHDC1,AT-hook DNA binding motif containing 1
NXT1,nuclear transport factor 2 like export factor 1
AXL,AXL receptor tyrosine kinase
BECN1,beclin 1
CCDC57,coiled-coil domain containing 57
LOC107986463,uncharacterized LOC107986463
CARD8-AS1,CARD8 antisense RNA 1
IDH1,isocitrate dehydrogenase (NADP(+)) 1
LOC101928077,uncharacterized LOC101928077
KATNA1,katanin catalytic subunit A1
GCH1,GTP cyclohydrolase 1
IGHV3-71,immunoglobulin heavy variable 3-71 (pseudogene)
IGHV1OR15-3,immunoglobulin heavy variable 1/OR15-3 (pseudogene)
DUSP12,dual specificity phosphatase 12
SRRM4,serine/arginine repetitive matrix 4
PGBD5,piggyBac transposable element derived 5
NDUFB11,NADH:ubiquinone oxidoreductase subunit B11
PIK3R5,phosphoinositide-3-kinase regulatory subunit 5
DBN1,drebrin 1
EPPIN,epididymal peptidase inhibitor
PPBP,pro-platelet basic protein
RGMA,repulsive guidance molecule BMP co-receptor a
SMC4,structural maintenance of chromosomes 4
SLC38A7,solute carrier family 38 member 7
EIF2S3B,eukaryotic translation initiation factor 2 subunit gamma B
ZSWIM1,zinc finger SWIM-type containing 1
RUNDC3B,RUN domain containing 3B
MIDEAS,mitotic deacetylase associated SANT domain protein
TMOD3,tropomodulin 3
LOC107984948,uncharacterized LOC107984948
TMEM97,transmembrane protein 97
DUSP3,dual specificity phosphatase 3
C15orf62,chromosome 15 open reading frame 62
HORMAD2,HORMA domain containing 2
ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2
CNTNAP2,contactin associated protein 2
MEIS1,Meis homeobox 1
AK2,adenylate kinase 2
EPHA2-AS1,EPHA2 antisense RNA 1
IFIT3,interferon induced protein with tetratricopeptide repeats 3
LOC105369363,uncharacterized LOC105369363
EHBP1-AS1,EHBP1 antisense RNA 1
NASP,nuclear autoantigenic sperm protein
GPRC5A,G protein-coupled receptor class C group 5 member A
PRR11,proline rich 11
ATP2B1,ATPase plasma membrane Ca2+ transporting 1
SAXO2,stabilizer of axonemal microtubules 2
CTU2,cytosolic thiouridylase subunit 2
LOC105378184,uncharacterized LOC105378184
VWA3B,von Willebrand factor A domain containing 3B
ZNF764,zinc finger protein 764
DNAH10,dynein axonemal heavy chain 10
ALOX5,arachidonate 5-lipoxygenase
ATP13A2,ATPase cation transporting 13A2
HDAC3,histone deacetylase 3
MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2"
DAW1,dynein assembly factor with WD repeats 1
LOC100652777,group 10 secretory phospholipase A2-like
LOC112268432,uncharacterized LOC112268432
COMMD2,COMM domain containing 2
LYPD2,LY6/PLAUR domain containing 2
PTS,6-pyruvoyltetrahydropterin synthase
BCAP31,B cell receptor associated protein 31
PDXP,pyridoxal phosphatase
ABHD15,abhydrolase domain containing 15
HOXA-AS2,HOXA cluster antisense RNA 2
ETS2,"ETS proto-oncogene 2, transcription factor"
TBC1D3I,TBC1 domain family member 3I
AGBL5,AGBL carboxypeptidase 5
ANKDD1B,ankyrin repeat and death domain containing 1B
MINDY3,MINDY lysine 48 deubiquitinase 3
ZFYVE1,zinc finger FYVE-type containing 1
ZNF815P,"zinc finger protein 815, pseudogene"
MIR210HG,MIR210 host gene
PES1,pescadillo ribosomal biogenesis factor 1
LOC105376892,uncharacterized LOC105376892
ULBP1,UL16 binding protein 1
LOC107984492,
VCAN,versican
PTH1R,parathyroid hormone 1 receptor
C17orf100,chromosome 17 open reading frame 100
PMEPA1,"prostate transmembrane protein, androgen induced 1"
GOLGA5,golgin A5
OGG1,8-oxoguanine DNA glycosylase
IGKV6D-21,immunoglobulin kappa variable 6D-21 (non-functional)
LOC107984200,uncharacterized LOC107984200
MIA2,MIA SH3 domain ER export factor 2
LRRC75B,leucine rich repeat containing 75B
SPACA4,sperm acrosome associated 4
TMEM151B,transmembrane protein 151B
RCBTB1,RCC1 and BTB domain containing protein 1
CDK12,cyclin dependent kinase 12
PUF60,poly(U) binding splicing factor 60
ADHFE1,alcohol dehydrogenase iron containing 1
SLC28A2,solute carrier family 28 member 2
MIR10393,microRNA 10393
APBA1,amyloid beta precursor protein binding family A member 1
KLHL38,kelch like family member 38
PDS5A,PDS5 cohesin associated factor A
LOC105372064,uncharacterized LOC105372064
MIR3614,microRNA 3614
GGT7,gamma-glutamyltransferase 7
MOSPD1,motile sperm domain containing 1
IGLV2-11,immunoglobulin lambda variable 2-11
PRKACA,protein kinase cAMP-activated catalytic subunit alpha
QDPR,quinoid dihydropteridine reductase
FUT11,fucosyltransferase 11
STX5-DT,STX5 divergent transcript
RHOA,ras homolog family member A
SLX9,SLX9 ribosome biogenesis factor
LOC105371254,uncharacterized LOC105371254
IGSF1,immunoglobulin superfamily member 1
TMEM220,transmembrane protein 220
PMF1,polyamine modulated factor 1
CRYGN,crystallin gamma N
ATP5MC1,ATP synthase membrane subunit c locus 1
TMUB1,transmembrane and ubiquitin like domain containing 1
B4GALT4-AS1,B4GALT4 antisense RNA 1
LOC102724159,periodic tryptophan protein 2 homolog
NT5C3A,"5'-nucleotidase, cytosolic IIIA"
GPR65,G protein-coupled receptor 65
AKAP14,A-kinase anchoring protein 14
FAM85A,family with sequence similarity 85 member A
ARRDC4,arrestin domain containing 4
TLR8,toll like receptor 8
ZMYND10,zinc finger MYND-type containing 10
SPIN4,spindlin family member 4
LRRC4,leucine rich repeat containing 4
VTN,vitronectin
ENDOD1,endonuclease domain containing 1
PRDM6,PR/SET domain 6
ZNF552,zinc finger protein 552
LOC221946,uncharacterized LOC221946
CAPRIN1,cell cycle associated protein 1
IGKV1D-43,immunoglobulin kappa variable 1D-43
WDR74,WD repeat domain 74
FZD8,frizzled class receptor 8
IGHJ3P,immunoglobulin heavy joining 3P (pseudogene)
TBC1D3G,TBC1 domain family member 3G
LOC107986058,uncharacterized LOC107986058
H3C10,H3 clustered histone 10
RAB37,"RAB37, member RAS oncogene family"
MYBPHL,myosin binding protein H like
TBC1D3C,TBC1 domain family member 3C
LINC02700,long intergenic non-protein coding RNA 2700
CCDC192,coiled-coil domain containing 192
LOC107986669,uncharacterized LOC107986669
HFE,homeostatic iron regulator
IGKV6-21,immunoglobulin kappa variable 6-21 (non-functional)
LOC107984214,uncharacterized LOC107984214
MUSK,muscle associated receptor tyrosine kinase
MEX3D,mex-3 RNA binding family member D
BRMS1,BRMS1 transcriptional repressor and anoikis regulator
CDH15,cadherin 15
ZNF860,zinc finger protein 860
NBR2,neighbor of BRCA1 lncRNA 2
ARHGAP24,Rho GTPase activating protein 24
DNAJC27,DnaJ heat shock protein family (Hsp40) member C27
GREM2,"gremlin 2, DAN family BMP antagonist"
EIF4A3,eukaryotic translation initiation factor 4A3
KCNMB1,potassium calcium-activated channel subfamily M regulatory beta subunit 1
NOL6,nucleolar protein 6
KLC2-AS1,KLC2 antisense RNA 1
GOLGA2P10,GOLGA2 pseudogene 10
PLA2G4E,phospholipase A2 group IVE
MAN1B1,mannosidase alpha class 1B member 1
IGHV3-35,immunoglobulin heavy variable 3-35 (non-functional)
SNORA18,"small nucleolar RNA, H/ACA box 18"
LOC112268036,uncharacterized LOC112268036
DDX55,DEAD-box helicase 55
USP21,ubiquitin specific peptidase 21
NDUFAF8,NADH:ubiquinone oxidoreductase complex assembly factor 8
LTB,lymphotoxin beta
BLM,BLM RecQ like helicase
SETDB1,SET domain bifurcated histone lysine methyltransferase 1
PSD2,pleckstrin and Sec7 domain containing 2
SEC23IP,SEC23 interacting protein
GCDH,glutaryl-CoA dehydrogenase
FMO5,flavin containing dimethylaniline monoxygenase 5
LOC100272217,uncharacterized LOC100272217
VCL,vinculin
LIF-AS2,LIF antisense RNA 2
CFAP20DC,CFAP20 domain containing
DCDC1,doublecortin domain containing 1
LOC729737,uncharacterized LOC729737
NINJ2-AS1,NINJ2 antisense RNA 1
GAREM2,GRB2 associated regulator of MAPK1 subtype 2
SERINC4,serine incorporator 4
MIR583HG,MIR583 host gene
RAET1K,retinoic acid early transcript 1K pseudogene
RTEL1,regulator of telomere elongation helicase 1
LINC02397,long intergenic non-protein coding RNA 2397
GRIK2,glutamate ionotropic receptor kainate type subunit 2
PCDHGA11,"protocadherin gamma subfamily A, 11"
NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8
CD33,CD33 molecule
DUSP23,dual specificity phosphatase 23
STARD7,StAR related lipid transfer domain containing 7
IRF4,interferon regulatory factor 4
SUZ12,SUZ12 polycomb repressive complex 2 subunit
PHF24,PHD finger protein 24
CLDN23,claudin 23
VEZT,"vezatin, adherens junctions transmembrane protein"
NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1
VSIG10L,V-set and immunoglobulin domain containing 10 like
NEK10,NIMA related kinase 10
TBC1D3H,TBC1 domain family member 3H
ACTR5,actin related protein 5
LINC00853,long intergenic non-protein coding RNA 853
MIR3198-2,microRNA 3198-2
TMEM139-AS1,TMEM139 antisense RNA 1
LOC105371223,uncharacterized LOC105371223
SPOPL-DT,SPOPL divergent transcript
DENND4A,DENN domain containing 4A
LOC107984282,uncharacterized LOC107984282
ENOPH1,enolase-phosphatase 1
LOC105374838,
CT62,cancer/testis associated 62
AQP3,aquaporin 3 (Gill blood group)
H2BC4,H2B clustered histone 4
ESRP2,epithelial splicing regulatory protein 2
TRIM25,tripartite motif containing 25
IGKV2-4,immunoglobulin kappa variable 2-4 (pseudogene)
FAM43A,family with sequence similarity 43 member A
H2AC25,H2A clustered histone 25
LOC100505851,uncharacterized LOC100505851
CAPN10-DT,CAPN10 divergent transcript
SCNM1,sodium channel modifier 1
HIF3A,hypoxia inducible factor 3 subunit alpha
PGBD3,piggyBac transposable element derived 3
KPNB1,karyopherin subunit beta 1
RASA3,RAS p21 protein activator 3
TSN,translin
LNX1,ligand of numb-protein X 1
KCNC3,potassium voltage-gated channel subfamily C member 3
LRP2BP-AS1,LRP2BP antisense RNA 1
BTK,Bruton tyrosine kinase
UBE2S,ubiquitin conjugating enzyme E2 S
LILRA2,leukocyte immunoglobulin like receptor A2
MMP10,matrix metallopeptidase 10
PLCXD1,phosphatidylinositol specific phospholipase C X domain containing 1
LOC102724646,uncharacterized LOC102724646
PCF11,PCF11 cleavage and polyadenylation factor subunit
PSMB2,proteasome 20S subunit beta 2
LOC102724584,
WNT5A,Wnt family member 5A
ACTA2-AS1,ACTA2 antisense RNA 1
SDHC,succinate dehydrogenase complex subunit C
FAM3C,FAM3 metabolism regulating signaling molecule C
EXOC3L4,exocyst complex component 3 like 4
TMEM183BP,"transmembrane protein 183B, pseudogene"
SQSTM1,sequestosome 1
RCBTB2,RCC1 and BTB domain containing protein 2
C22orf23,chromosome 22 open reading frame 23
NKRF,NFKB repressing factor
JAZF1,JAZF zinc finger 1
WDR49,WD repeat domain 49
RFFL,ring finger and FYVE like domain containing E3 ubiquitin protein ligase
AKAP7,A-kinase anchoring protein 7
IGKV1-17,immunoglobulin kappa variable 1-17
TRNAU1AP,tRNA selenocysteine 1 associated protein 1
NKAPP1,NFKB activating protein pseudogene 1
CIART,circadian associated repressor of transcription
ELAPOR2,endosome-lysosome associated apoptosis and autophagy regulator family member 2
FFAR4,free fatty acid receptor 4
LYAR,Ly1 antibody reactive
SCN5A,sodium voltage-gated channel alpha subunit 5
NPEPPSP1,NPEPPS pseudogene 1
ZC3H13,zinc finger CCCH-type containing 13
CXCL2,C-X-C motif chemokine ligand 2
NUAK2,NUAK family kinase 2
LINC01767,long intergenic non-protein coding RNA 1767
DZIP1L,DAZ interacting zinc finger protein 1 like
TULP4,TUB like protein 4
SCLT1,sodium channel and clathrin linker 1
KCNRG,potassium channel regulator
TSPAN12,tetraspanin 12
GPR155-DT,GPR155 divergent transcript
EGR1,early growth response 1
LOC107986064,uncharacterized LOC107986064
MIR34AHG,MIR34A host gene
GALR2,galanin receptor 2
C2orf72,chromosome 2 open reading frame 72
ATG16L2,autophagy related 16 like 2
DDX23,DEAD-box helicase 23
IGHJ3,immunoglobulin heavy joining 3
CLEC17A,C-type lectin domain containing 17A
ASCC3,activating signal cointegrator 1 complex subunit 3
CSTPP1,centriolar satellite-associated tubulin polyglutamylase complex regulator 1
SND1,staphylococcal nuclease and tudor domain containing 1
EGR2,early growth response 2
DND1,DND microRNA-mediated repression inhibitor 1
TTC13,tetratricopeptide repeat domain 13
TSPAN32,tetraspanin 32
SLC18A2-AS1,SLC18A2 antisense RNA 1
NOMO2,NODAL modulator 2
CGB7,chorionic gonadotropin subunit beta 7
IGKV6D-41,immunoglobulin kappa variable 6D-41 (non-functional)
TADA1,transcriptional adaptor 1
PCDHA11,protocadherin alpha 11
SRF,serum response factor
KCNC4,potassium voltage-gated channel subfamily C member 4
TRIM9,tripartite motif containing 9
HERC2P9,HERC2 pseudogene 9
UBAC2,UBA domain containing 2
PLP1,proteolipid protein 1
ZNF215,zinc finger protein 215
YTHDF1,YTH N6-methyladenosine RNA binding protein 1
LOC112268450,uncharacterized LOC112268450
RMST,rhabdomyosarcoma 2 associated transcript
CLEC5A,C-type lectin domain containing 5A
DYDC1,DPY30 domain containing 1
FRAS1,Fraser extracellular matrix complex subunit 1
PTPRU,protein tyrosine phosphatase receptor type U
PI4K2B,phosphatidylinositol 4-kinase type 2 beta
TUBA4A,tubulin alpha 4a
CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1
LINC01436,long intergenic non-protein coding RNA 1436
H3-7,H3.7 histone (putative)
IGKV1D-12,immunoglobulin kappa variable 1D-12
TGIF1,TGFB induced factor homeobox 1
LRRK2,leucine rich repeat kinase 2
CCT2,chaperonin containing TCP1 subunit 2
LNC-LBCS,"lncRNA bladder and prostate cancer suppressor, hnRNPK interacting"
ZNF114,zinc finger protein 114
C1QB,complement C1q B chain
LOC105371730,uncharacterized LOC105371730
HSD3B7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7"
HMGN2P46,high mobility group nucleosomal binding domain 2 pseudogene 46
CRIPT,CXXC repeat containing interactor of PDZ3 domain
SORL1-AS1,SORL1 antisense RNA 1
HSD17B7,hydroxysteroid 17-beta dehydrogenase 7
ZNF724,zinc finger protein 724
TYW5,tRNA-yW synthesizing protein 5
LONRF1,LON peptidase N-terminal domain and ring finger 1
CYP4F12,cytochrome P450 family 4 subfamily F member 12
B2M,beta-2-microglobulin
RASSF7,Ras association domain family member 7
CLCN7,chloride voltage-gated channel 7
ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
ZNF252P-AS1,ZNF252P antisense RNA 1
ZMYND11,zinc finger MYND-type containing 11
CENPE,centromere protein E
NEK6,NIMA related kinase 6
EMC8,ER membrane protein complex subunit 8
ZFTRAF1,zinc finger TRAF-type containing 1
NR1I3,nuclear receptor subfamily 1 group I member 3
MIX23,mitochondrial matrix import factor 23
GJB3,gap junction protein beta 3
NPAS2,neuronal PAS domain protein 2
USP28,ubiquitin specific peptidase 28
RRAGB,Ras related GTP binding B
RARA-AS1,RARA antisense RNA 1
DCBLD2,"discoidin, CUB and LCCL domain containing 2"
KLHDC2,kelch domain containing 2
UBXN11,UBX domain protein 11
ZNRD2,zinc ribbon domain containing 2
PPM1H,"protein phosphatase, Mg2+/Mn2+ dependent 1H"
DIP2C-AS1,DIP2C antisense RNA 1
FHL3,four and a half LIM domains 3
NPTX2,neuronal pentraxin 2
COA6-AS1,COA6 antisense RNA 1
RIN3,Ras and Rab interactor 3
SERPINA9,serpin family A member 9
LOC100506606,uncharacterized LOC100506606
VPS45,vacuolar protein sorting 45 homolog
SGTB,small glutamine rich tetratricopeptide repeat co-chaperone beta
AP1M1,adaptor related protein complex 1 subunit mu 1
TARBP2,TARBP2 subunit of RISC loading complex
OLR1,oxidized low density lipoprotein receptor 1
CEACAM21,CEA cell adhesion molecule 21
FOXC2,forkhead box C2
GAREM1,GRB2 associated regulator of MAPK1 subtype 1
PCSK4,proprotein convertase subtilisin/kexin type 4
FSIP2,fibrous sheath interacting protein 2
ALOX15,arachidonate 15-lipoxygenase
ZNF497-AS1,ZNF497 antisense RNA 1
DYDC2,DPY30 domain containing 2
KCTD14,potassium channel tetramerization domain containing 14
VEPH1,ventricular zone expressed PH domain containing 1
MX2,MX dynamin like GTPase 2
SECTM1,secreted and transmembrane 1
PTGES3,prostaglandin E synthase 3
CD200,CD200 molecule
KMT2B,lysine methyltransferase 2B
VDAC1,voltage dependent anion channel 1
SCN1A,sodium voltage-gated channel alpha subunit 1
LOC107985355,uncharacterized LOC107985355
FAM118B,family with sequence similarity 118 member B
C5orf22,chromosome 5 open reading frame 22
TGDS,"TDP-glucose 4,6-dehydratase"
EXOSC1,exosome component 1
DGKI,diacylglycerol kinase iota
ARFGAP1,ADP ribosylation factor GTPase activating protein 1
KIAA2012,KIAA2012
SLC7A11,solute carrier family 7 member 11
SGSH,N-sulfoglucosamine sulfohydrolase
OSCAR,osteoclast associated Ig-like receptor
LOC107986152,
LOC107984576,
LOC101928081,uncharacterized LOC101928081
ANK1,ankyrin 1
TUBA4B,tubulin alpha 4b
SLC12A2,solute carrier family 12 member 2
LOC105371569,uncharacterized LOC105371569
ACKR3,atypical chemokine receptor 3
TBC1D10B,TBC1 domain family member 10B
TPRG1-AS2,TPRG1 antisense RNA 2
ALDH4A1,aldehyde dehydrogenase 4 family member A1
SEC22B4P,"SEC22 homolog B4, pseudogene"
LINC01655,long intergenic non-protein coding RNA 1655
LOC101928906,uncharacterized LOC101928906
TRIM17,tripartite motif containing 17
CEP162,centrosomal protein 162
GCK,glucokinase
LOC105376159,uncharacterized LOC105376159
H4C5,H4 clustered histone 5
IGSF3,immunoglobulin superfamily member 3
VIT,vitrin
PATZ1,POZ/BTB and AT hook containing zinc finger 1
NEK2-DT,NEK2 divergent transcript
ZFP36L1,ZFP36 ring finger protein like 1
TMOD4,tropomodulin 4
LOC105377763,uncharacterized LOC105377763
ABCA1,ATP binding cassette subfamily A member 1
RAB6C,"RAB6C, member RAS oncogene family"
EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1
POPDC2,popeye domain containing 2
HCK,"HCK proto-oncogene, Src family tyrosine kinase"
IGKV2D-24,immunoglobulin kappa variable 2D-24 (non-functional)
NEBL-AS1,NEBL antisense RNA 1
CD69,CD69 molecule
RAD9A,RAD9 checkpoint clamp component A
EDEM3,ER degradation enhancing alpha-mannosidase like protein 3
ASB1,ankyrin repeat and SOCS box containing 1
KRT16P1,keratin 16 pseudogene 1
LOC107986124,uncharacterized LOC107986124
USP18,ubiquitin specific peptidase 18
SLC40A1,solute carrier family 40 member 1
C1QA,complement C1q A chain
CDKL5,cyclin dependent kinase like 5
KRT6C,keratin 6C
SCARF1,scavenger receptor class F member 1
LIPH,lipase H
LINC00543,long intergenic non-protein coding RNA 543
COA3,cytochrome c oxidase assembly factor 3
SEPTIN3,septin 3
PFAS,phosphoribosylformylglycinamidine synthase
ZSCAN4,zinc finger and SCAN domain containing 4
MRPL32,mitochondrial ribosomal protein L32
PA2G4P4,proliferation-associated 2G4 pseudogene 4
KIAA0754,replaced by ID 23499
MAB21L3,mab-21 like 3
MIR4683,microRNA 4683
UTP14A,UTP14A small subunit processome component
RCN3,reticulocalbin 3
LOC107986476,uncharacterized LOC107986476
IGKV1D-16,immunoglobulin kappa variable 1D-16
IGHV3-6,immunoglobulin heavy variable 3-6 (pseudogene)
FBXO4,F-box protein 4
LVRN,laeverin
RSL1D1-DT,RSL1D1 divergent transcript
CBR3,carbonyl reductase 3
LOC105374773,uncharacterized LOC105374773
ZNF589,zinc finger protein 589
DGUOK,deoxyguanosine kinase
DBH,dopamine beta-hydroxylase
PACSIN1,protein kinase C and casein kinase substrate in neurons 1
SLC9A3-AS1,SLC9A3 antisense RNA 1
ZNF703,zinc finger protein 703
PIP4P2,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2"
LOC105371637,uncharacterized LOC105371637
SUZ12P1,SUZ12 pseudogene 1
TBC1D3,TBC1 domain family member 3
ROBO3,roundabout guidance receptor 3
CSTF1,cleavage stimulation factor subunit 1
PINLYP,phospholipase A2 inhibitor and LY6/PLAUR domain containing
CLDN7,claudin 7
PTGES2,prostaglandin E synthase 2
AFTPH,aftiphilin
ZSWIM5,zinc finger SWIM-type containing 5
FGL2,fibrinogen like 2
ZRSR2,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2"
LINC03014,long intergenic non-protein coding RNA 3014
HEATR1,HEAT repeat containing 1
TRIM45,tripartite motif containing 45
PABPC4,poly(A) binding protein cytoplasmic 4
NIPSNAP2,nipsnap homolog 2
LOC102724474,WAS/WASL-interacting protein family member 2-like
BMP6,bone morphogenetic protein 6
TAF1A,"TATA-box binding protein associated factor, RNA polymerase I subunit A"
LINC01571,long intergenic non-protein coding RNA 1571
FILIP1L,filamin A interacting protein 1 like
RPLP0,ribosomal protein lateral stalk subunit P0
CD27,CD27 molecule
PIP5K1A,phosphatidylinositol-4-phosphate 5-kinase type 1 alpha
ECEL1,endothelin converting enzyme like 1
MAP2,microtubule associated protein 2
RPL23AP82,ribosomal protein L23a pseudogene 82
GALM,galactose mutarotase
KIF5A,kinesin family member 5A
GOSR1,golgi SNAP receptor complex member 1
NXF3,nuclear RNA export factor 3
ABCE1,ATP binding cassette subfamily E member 1
WDR43,WD repeat domain 43
NACC2,NACC family member 2
LOC101928350,uncharacterized LOC101928350
LRP2BP,LRP2 binding protein
ELOVL6,ELOVL fatty acid elongase 6
IRF3,interferon regulatory factor 3
GDF9,growth differentiation factor 9
MYO1E,myosin IE
THEMIS2,thymocyte selection associated family member 2
NAA25,"N-alpha-acetyltransferase 25, NatB auxiliary subunit"
DCAF13P3,DDB1 and CUL4 associated factor 13 pseudogene 3
SNORA61,"small nucleolar RNA, H/ACA box 61"
ANKRD36C,ankyrin repeat domain 36C
STRADA,STE20 related adaptor alpha
RNF216P1,ring finger protein 216 pseudogene 1
CCDC78,coiled-coil domain containing 78
LOC107984669,
AZI2,5-azacytidine induced 2
LOC100288570,glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast) pseudogene
IL22RA1,interleukin 22 receptor subunit alpha 1
PRRT3,proline rich transmembrane protein 3
LINC00693,long intergenic non-protein coding RNA 693
LOC102725231,uncharacterized LOC102725231
NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit"
ARHGAP11A-DT,ARHGAP11A divergent transcript
NDUFS6,NADH:ubiquinone oxidoreductase subunit S6
PAK1IP1,PAK1 interacting protein 1
RAE1,ribonucleic acid export 1
RBM4,RNA binding motif protein 4
LOC101929633,uncharacterized LOC101929633
PHF6,PHD finger protein 6
ARHGAP30,Rho GTPase activating protein 30
FLT3LG,fms related receptor tyrosine kinase 3 ligand
SOAT1,sterol O-acyltransferase 1
LMAN1,"lectin, mannose binding 1"
RPS18,ribosomal protein S18
ADGRA2,adhesion G protein-coupled receptor A2
LOC105378726,uncharacterized LOC105378726
CDYL,chromodomain Y like
MIR6720,microRNA 6720
LOC102724653,uncharacterized LOC102724653
CCS,copper chaperone for superoxide dismutase
C18orf63,chromosome 18 open reading frame 63
TUBB8B,tubulin beta 8B
PSMD1,"proteasome 26S subunit, non-ATPase 1"
CSTA,cystatin A
LOC105370092,uncharacterized LOC105370092
NISCH,nischarin
HDAC1,histone deacetylase 1
HCST,hematopoietic cell signal transducer
DAGLB,diacylglycerol lipase beta
NUDT6,nudix hydrolase 6
UROS,uroporphyrinogen III synthase
DENND1B,DENN domain containing 1B
SH3RF1,SH3 domain containing ring finger 1
KAT6B,lysine acetyltransferase 6B
ETNK1,ethanolamine kinase 1
FAM83G,family with sequence similarity 83 member G
SVIL-AS1,SVIL antisense RNA 1
LOC101060187,uncharacterized LOC101060187
NKD2,NKD inhibitor of WNT signaling pathway 2
LOC105372321,uncharacterized LOC105372321
TTC16,tetratricopeptide repeat domain 16
LOC105378795,uncharacterized LOC105378795
FASTKD3,FAST kinase domains 3
TSPAN8,tetraspanin 8
PRDX2,peroxiredoxin 2
CD300LB,CD300 molecule like family member b
WDFY2,WD repeat and FYVE domain containing 2
FAM171A2,family with sequence similarity 171 member A2
